"id","legal_name","position","addr_street","addr_housenumber","addr_postcode","municipality","health_facility_type","opening_hours","longitude","latitude","transport_option","user","bus_stop","train_stop","walking_distance"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-ext-1121_(0.06km-1min)","pharm-7","stop-ext-1121",NA,"(0.06 km, 1 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-ext-1122_(0.78km-9min)","pharm-7","stop-ext-1122",NA,"(0.78 km, 9 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-ext-1184_(0.58km-7min)","pharm-7","stop-ext-1184",NA,"(0.58 km, 7 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-ext-1933_(0.51km-6min)","pharm-7","stop-ext-1933",NA,"(0.51 km, 6 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-ext-1956_(0.51km-6min)","pharm-7","stop-ext-1956",NA,"(0.51 km, 6 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-ext-4664_(0.82km-10min)","pharm-7","stop-ext-4664",NA,"(0.82 km, 10 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-ext-4961_(0.96km-11min)","pharm-7","stop-ext-4961",NA,"(0.96 km, 11 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-ext-6130_(0.97km-12min)","pharm-7","stop-ext-6130",NA,"(0.97 km, 12 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-ext-6131_(0.06km-1min)","pharm-7","stop-ext-6131",NA,"(0.06 km, 1 min)"
"pharm-7","Farmacia Rigoni","ViaBrennero-15-38060-Calliano","Via Brennero","15",38060,"Calliano","pharmacy",NA,11.092814945964,45.92929890554,"pharm-7_stop-ext-6132_(0.85km-10min)","pharm-7","stop-ext-6132",NA,"(0.85 km, 10 min)"
"pharm-8","Franzellin Giancarlo","ViaFratelliBronzetti-28-38033-Cavalese","Via Fratelli Bronzetti","28",38033,"Cavalese","pharmacy",NA,11.4621468378048,46.2908054279005,"pharm-8_stop-ext-14_(0.53km-6min)","pharm-8","stop-ext-14",NA,"(0.53 km, 6 min)"
"pharm-8","Franzellin Giancarlo","ViaFratelliBronzetti-28-38033-Cavalese","Via Fratelli Bronzetti","28",38033,"Cavalese","pharmacy",NA,11.4621468378048,46.2908054279005,"pharm-8_stop-ext-15_(0.12km-1min)","pharm-8","stop-ext-15",NA,"(0.12 km, 1 min)"
"pharm-8","Franzellin Giancarlo","ViaFratelliBronzetti-28-38033-Cavalese","Via Fratelli Bronzetti","28",38033,"Cavalese","pharmacy",NA,11.4621468378048,46.2908054279005,"pharm-8_stop-ext-16_(0.33km-4min)","pharm-8","stop-ext-16",NA,"(0.33 km, 4 min)"
"pharm-8","Franzellin Giancarlo","ViaFratelliBronzetti-28-38033-Cavalese","Via Fratelli Bronzetti","28",38033,"Cavalese","pharmacy",NA,11.4621468378048,46.2908054279005,"pharm-8_stop-ext-69_(0.46km-5min)","pharm-8","stop-ext-69",NA,"(0.46 km, 5 min)"
"pharm-8","Franzellin Giancarlo","ViaFratelliBronzetti-28-38033-Cavalese","Via Fratelli Bronzetti","28",38033,"Cavalese","pharmacy",NA,11.4621468378048,46.2908054279005,"pharm-8_stop-ext-557_(0.56km-7min)","pharm-8","stop-ext-557",NA,"(0.56 km, 7 min)"
"pharm-8","Franzellin Giancarlo","ViaFratelliBronzetti-28-38033-Cavalese","Via Fratelli Bronzetti","28",38033,"Cavalese","pharmacy",NA,11.4621468378048,46.2908054279005,"pharm-8_stop-ext-565_(0.58km-7min)","pharm-8","stop-ext-565",NA,"(0.58 km, 7 min)"
"pharm-8","Franzellin Giancarlo","ViaFratelliBronzetti-28-38033-Cavalese","Via Fratelli Bronzetti","28",38033,"Cavalese","pharmacy",NA,11.4621468378048,46.2908054279005,"pharm-8_stop-ext-1242_(0.75km-9min)","pharm-8","stop-ext-1242",NA,"(0.75 km, 9 min)"
"pharm-8","Franzellin Giancarlo","ViaFratelliBronzetti-28-38033-Cavalese","Via Fratelli Bronzetti","28",38033,"Cavalese","pharmacy",NA,11.4621468378048,46.2908054279005,"pharm-8_stop-ext-2376_(0.59km-7min)","pharm-8","stop-ext-2376",NA,"(0.59 km, 7 min)"
"pharm-8","Franzellin Giancarlo","ViaFratelliBronzetti-28-38033-Cavalese","Via Fratelli Bronzetti","28",38033,"Cavalese","pharmacy",NA,11.4621468378048,46.2908054279005,"pharm-8_stop-ext-2769_(0.31km-4min)","pharm-8","stop-ext-2769",NA,"(0.31 km, 4 min)"
"pharm-8","Franzellin Giancarlo","ViaFratelliBronzetti-28-38033-Cavalese","Via Fratelli Bronzetti","28",38033,"Cavalese","pharmacy",NA,11.4621468378048,46.2908054279005,"pharm-8_stop-ext-4331_(0.75km-9min)","pharm-8","stop-ext-4331",NA,"(0.75 km, 9 min)"
"pharm-8","Franzellin Giancarlo","ViaFratelliBronzetti-28-38033-Cavalese","Via Fratelli Bronzetti","28",38033,"Cavalese","pharmacy",NA,11.4621468378048,46.2908054279005,"pharm-8_stop-ext-5743_(0.14km-2min)","pharm-8","stop-ext-5743",NA,"(0.14 km, 2 min)"
"pharm-8","Franzellin Giancarlo","ViaFratelliBronzetti-28-38033-Cavalese","Via Fratelli Bronzetti","28",38033,"Cavalese","pharmacy",NA,11.4621468378048,46.2908054279005,"pharm-8_stop-ext-6215_(0.96km-12min)","pharm-8","stop-ext-6215",NA,"(0.96 km, 12 min)"
"pharm-9","Farmacia All'Angelo","ViaGuglielmoMarconi-10-38010-Denno","Via Guglielmo Marconi","10",38010,"Denno","pharmacy",NA,11.0479741341762,46.2744402673537,"pharm-9_stop-ext-2676_(0.06km-1min)","pharm-9","stop-ext-2676",NA,"(0.06 km, 1 min)"
"pharm-9","Farmacia All'Angelo","ViaGuglielmoMarconi-10-38010-Denno","Via Guglielmo Marconi","10",38010,"Denno","pharmacy",NA,11.0479741341762,46.2744402673537,"pharm-9_stop-ext-3817_(0.41km-5min)","pharm-9","stop-ext-3817",NA,"(0.41 km, 5 min)"
"pharm-9","Farmacia All'Angelo","ViaGuglielmoMarconi-10-38010-Denno","Via Guglielmo Marconi","10",38010,"Denno","pharmacy",NA,11.0479741341762,46.2744402673537,"pharm-9_stop-ext-4806_(0.18km-2min)","pharm-9","stop-ext-4806",NA,"(0.18 km, 2 min)"
"pharm-9","Farmacia All'Angelo","ViaGuglielmoMarconi-10-38010-Denno","Via Guglielmo Marconi","10",38010,"Denno","pharmacy",NA,11.0479741341762,46.2744402673537,"pharm-9_stop-ext-4898_(0.39km-5min)","pharm-9","stop-ext-4898",NA,"(0.39 km, 5 min)"
"pharm-9","Farmacia All'Angelo","ViaGuglielmoMarconi-10-38010-Denno","Via Guglielmo Marconi","10",38010,"Denno","pharmacy",NA,11.0479741341762,46.2744402673537,"pharm-9_stop-ext-5053_(0.99km-12min)","pharm-9","stop-ext-5053",NA,"(0.99 km, 12 min)"
"pharm-9","Farmacia All'Angelo","ViaGuglielmoMarconi-10-38010-Denno","Via Guglielmo Marconi","10",38010,"Denno","pharmacy",NA,11.0479741341762,46.2744402673537,"pharm-9_stop-ext-5615_(0.55km-7min)","pharm-9","stop-ext-5615",NA,"(0.55 km, 7 min)"
"pharm-10","Farmacia Girardi","ViaEmilioColpi-179-38064-Folgaria","Via Emilio Colpi","179",38064,"Folgaria","pharmacy","PH,Su 10:00-12:00; Mo-Sa 08:30-12:30,15:45-19:15",11.1736862532487,45.9150464713168,"pharm-10_stop-ext-1940_(0.97km-12min)","pharm-10","stop-ext-1940",NA,"(0.97 km, 12 min)"
"pharm-10","Farmacia Girardi","ViaEmilioColpi-179-38064-Folgaria","Via Emilio Colpi","179",38064,"Folgaria","pharmacy","PH,Su 10:00-12:00; Mo-Sa 08:30-12:30,15:45-19:15",11.1736862532487,45.9150464713168,"pharm-10_stop-ext-1941_(0.59km-7min)","pharm-10","stop-ext-1941",NA,"(0.59 km, 7 min)"
